title,address,access,age,floor,rent,administration,deposit,gratuity,madori,menseki
アーバンステージ千石II,東京都文京区千石４, 都営三田線/千石駅 歩6分 ＪＲ山手線/巣鴨駅 歩9分 東京メトロ丸ノ内線/新大塚駅 歩12分 , 築6年 4階建 ,             1階,10.8万円,8000円,10.8万円,10.8万円,1LDK,30.06m2
アーバンステージ千石II,東京都文京区千石４, 都営三田線/千石駅 歩6分 ＪＲ山手線/巣鴨駅 歩9分 東京メトロ丸ノ内線/新大塚駅 歩12分 , 築6年 4階建 ,             2階,15.7万円,10000円,15.7万円,15.7万円,1LDK,41.33m2
ＡＴＬＡＳ　Ｃａｒｏ　東大前,東京都文京区弥生２, 東京メトロ千代田線/根津駅 歩6分 東京メトロ南北線/東大前駅 歩10分 東京メトロ千代田線/湯島駅 歩12分 , 築5年 5階建 ,             3階,9万円,6500円,-,9万円,ワンルーム,20.01m2
ＡＴＬＡＳ　Ｃａｒｏ　東大前,東京都文京区弥生２, 東京メトロ千代田線/根津駅 歩6分 東京メトロ南北線/東大前駅 歩10分 東京メトロ千代田線/湯島駅 歩12分 , 築5年 5階建 ,             5階,15万円,6500円,-,15万円,1LDK,40.27m2
モンテ駒込,東京都文京区千駄木５, 東京メトロ南北線/本駒込駅 歩8分 東京メトロ千代田線/千駄木駅 歩13分 都営三田線/白山駅 歩13分 , 築2年 5階建 ,             4階,10.3万円,10000円,-,-,1LDK,25.06m2
モンテ駒込,東京都文京区千駄木５, 東京メトロ南北線/本駒込駅 歩8分 東京メトロ千代田線/千駄木駅 歩13分 都営三田線/白山駅 歩13分 , 築2年 5階建 ,             5階,15万円,10000円,-,-,1LDK,40.06m2
白山テラスハウス,東京都文京区白山１, 都営三田線/白山駅 歩3分 東京メトロ南北線/東大前駅 歩10分 都営三田線/春日駅 歩13分 , 築50年 2階建 ,             1階,13.5万円,5000円,13.5万円,13.5万円,2LK,52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,8.8万円,10000円,-,-,ワンルーム,19.25m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,9万円,10000円,-,-,1K,19.76m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,9万円,10000円,-,-,ワンルーム,19.25m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,9.1万円,10000円,-,-,1K,20.16m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,9.1万円,10000円,-,-,ワンルーム,19.25m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,9.2万円,10000円,-,-,1K,19.76m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             4階,9.2万円,10000円,-,-,ワンルーム,19.25m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,9.3万円,10000円,-,-,1K,20.16m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             4階,10万円,10000円,-,-,1K,22.12m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,16.7万円,10000円,-,-,1LDK,40.37m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,16.8万円,10000円,-,-,1LDK,40.52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,16.9万円,10000円,-,-,1LDK,40.37m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,17万円,10000円,-,-,1LDK,40.52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,17万円,10000円,-,-,1LDK,39.8m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,17.2万円,10000円,-,-,1LDK,40.52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,17.3万円,10000円,-,-,1LDK,40.62m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             4階,17.4万円,10000円,-,-,1LDK,40.41m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             4階,17.5万円,10000円,-,-,1LDK,40.8m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,16.7万円,20000円,-,-,1LDK,40.37m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             1階,16.8万円,20000円,-,-,1LDK,40.52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,16.9万円,20000円,-,-,1LDK,40.37m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             2階,17万円,20000円,-,-,1LDK,40.52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,17万円,20000円,-,-,1LDK,39.8m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,17.2万円,20000円,-,-,1LDK,40.52m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             3階,17.3万円,20000円,-,-,1LDK,40.62m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             4階,17.4万円,20000円,-,-,1LDK,40.41m2
レーヴレジデンス本駒込,東京都文京区本駒込２, 都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/白山駅 歩8分 , 新築 4階建 ,             4階,17.5万円,20000円,-,-,1LDK,40.8m2
グランカーサ本駒込,東京都文京区本駒込３, ＪＲ山手線/駒込駅 歩11分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩10分 , 築5年 地下1地上15階建 ,             3階,14.3万円,10000円,14.3万円,14.3万円,1LDK,36.56m2
グランカーサ本駒込,東京都文京区本駒込３, ＪＲ山手線/駒込駅 歩11分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩10分 , 築5年 地下1地上15階建 ,             13階,15万円,10000円,15万円,15万円,1LDK,36.56m2
グランカーサ本駒込,東京都文京区本駒込３, ＪＲ山手線/駒込駅 歩11分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩10分 , 築5年 地下1地上15階建 ,             4階,25.4万円,15000円,25.4万円,25.4万円,2LDK,56.36m2
グランカーサ本駒込,東京都文京区本駒込３, ＪＲ山手線/駒込駅 歩11分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩10分 , 築5年 地下1地上15階建 ,             6階,25.6万円,15000円,25.6万円,25.6万円,2LDK,56.36m2
グランカーサ本駒込,東京都文京区本駒込３, ＪＲ山手線/駒込駅 歩11分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩10分 , 築5年 地下1地上15階建 ,             13階,26.3万円,15000円,26.3万円,26.3万円,2LDK,56.36m2
東京メトロ丸ノ内線 茗荷谷駅 6階建 築9年,東京都文京区大塚３, 東京メトロ丸ノ内線/茗荷谷駅 歩8分 ＪＲ山手線/大塚駅 歩16分 都営三田線/千石駅 歩13分 , 築9年 6階建 ,             5階,17.6万円,10000円,-,17.6万円,1SLDK,54.28m2
プライマルシティ神楽坂,東京都文京区関口１, 東京メトロ有楽町線/江戸川橋駅 歩2分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分 , 築4年 12階建 ,             11階,30万円,15000円,30万円,30万円,2LDK,55.1m2
プライマルシティ神楽坂,東京都文京区関口１, 東京メトロ有楽町線/江戸川橋駅 歩2分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分 , 築4年 12階建 ,             4階,30.5万円,15000円,30.5万円,30.5万円,2LDK,55.46m2
プライマルシティ神楽坂,東京都文京区関口１, 東京メトロ有楽町線/江戸川橋駅 歩2分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分 , 築4年 12階建 ,             6階,30.7万円,15000円,30.7万円,30.7万円,2LDK,55.46m2
プライマルシティ神楽坂,東京都文京区関口１, 東京メトロ有楽町線/江戸川橋駅 歩2分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分 , 築4年 12階建 ,             6階,30.7万円,15000円,30.7万円,30.7万円,2LDK,55.46m2
プライマルシティ神楽坂,東京都文京区関口１, 東京メトロ有楽町線/江戸川橋駅 歩2分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分 , 築4年 12階建 ,             12階,35.9万円,15000円,35.9万円,35.9万円,3LDK,66.8m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             1階,15.6万円,5000円,15.6万円,15.6万円,1LDK,35.97m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             1階,16万円,5000円,16万円,16万円,1LDK,44.02m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             2階,16.2万円,5000円,16.2万円,16.2万円,1LDK,41.36m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             2階,16.2万円,5000円,16.2万円,16.2万円,1LDK,41.05m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             3階,16.3万円,5000円,16.3万円,16.3万円,1LDK,41.36m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             3階,16.3万円,5000円,16.3万円,16.3万円,1LDK,41.05m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             4階,16.4万円,5000円,16.4万円,16.4万円,1LDK,41.36m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             4階,16.4万円,5000円,16.4万円,16.4万円,1LDK,41.05m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             5階,16.4万円,5000円,16.4万円,16.4万円,1LDK,41.05m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             5階,16.5万円,5000円,16.5万円,16.5万円,1LDK,41.36m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             5階,16.5万円,5000円,16.5万円,16.5万円,1LDK,41.05m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             2階,23.2万円,5000円,23.2万円,23.2万円,2LDK,50.12m2
Yushima　KWD　７,東京都文京区湯島２, 東京メトロ丸ノ内線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 ＪＲ山手線/御徒町駅 歩13分 , 新築 5階建 ,             3階,23.3万円,5000円,23.3万円,23.3万円,2LDK,50.12m2
